ORDER_REF_NUMBER,TRACKING_NUMBER,WEIGHT (Kg),ORDER_PICKUP_DATE,ORIGIN_CITY,DELIVERY_CITY,STATUS,COD_AMOUNT,UPFRONT_AMOUNT,RESERVE_AMOUNT,D/R Date,SHIPPING_CHARGES,UPFRONT_CHARGES,GST,WH_INCOME_TAX (2%),WH_SALES_TAX (2%),NET_AMOUNT
#4723,2.23E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,1/31/2026 12:57,138,0,20.7,44.96,44.96,1999.38
#4722,2.93E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2848,1993.6,854.4,1/31/2026 21:07,138,0,20.7,56.96,56.96,2575.38
#4720,2.33E+13,0.3,1/28/2026 20:26,NEW TOWN KARACHI,Karachi,Delivered,2648,1853.6,794.4,1/29/2026 16:50,138,0,20.7,52.96,52.96,2383.38
#4718,2.23E+13,0.1,1/28/2026 20:26,NEW TOWN KARACHI,MUZAFFARGARH,Delivered,2248,1573.6,674.4,2/2/2026 20:21,184,0,27.6,44.96,44.96,1946.48
#4717,2.23E+13,0.6,1/28/2026 20:26,NEW TOWN KARACHI,Islamabad,Delivered,5997,0,5997,1/31/2026 11:52,218.5,0,32.78,119.94,119.94,5505.84
#4716,2.23E+13,0.6,1/28/2026 20:26,NEW TOWN KARACHI,Islamabad,Delivered,5047,0,5047,1/31/2026 10:51,218.5,0,32.78,100.94,100.94,4593.84
#4714,2.03E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2848,1993.6,854.4,2/2/2026 18:46,138,0,20.7,56.96,56.96,2575.38
#4712,2.83E+13,0.2,1/28/2026 20:26,NEW TOWN KARACHI,KHAIRPUR,Delivered,2248,1573.6,674.4,1/30/2026 12:24,172.5,0,25.88,44.96,44.96,1959.7
#4710,2.83E+13,0.1,1/28/2026 20:26,NEW TOWN KARACHI,GUJRAT,Delivered,2248,1573.6,674.4,2/2/2026 16:47,184,0,27.6,44.96,44.96,1946.48
#4709,2.83E+13,0.3,1/28/2026 20:26,NEW TOWN KARACHI,MULTAN,Delivered,3247,2272.9,974.1,1/31/2026 14:32,184,0,27.6,64.94,64.94,2905.52
#4708,2.53E+13,0.6,1/28/2026 20:26,NEW TOWN KARACHI,Lahore,Delivered,0,0,0,1/30/2026 13:26,218.5,0,32.78,0,0,-251.28
#4707,2.13E+13,0.2,1/28/2026 20:27,NEW TOWN KARACHI,Islamabad,Delivered,0,0,0,1/31/2026 13:47,184,0,27.6,0,0,-211.6
#4704,2.83E+13,0.3,1/28/2026 20:26,NEW TOWN KARACHI,KHANPUR,Delivered,3247,2272.9,974.1,2/2/2026 19:54,184,0,27.6,64.94,64.94,2905.52
#4702,2.23E+13,0.5,1/28/2026 20:27,NEW TOWN KARACHI,RISALPUR,Delivered,5996,0,5996,2/2/2026 17:40,184,0,27.6,119.92,119.92,5544.56
#4701,2.03E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,2/1/2026 16:26,138,0,20.7,44.96,44.96,1999.38
#4698,2.33E+13,0.3,1/29/2026 18:42,NEW TOWN KARACHI,SWAT,Delivered,2248,1573.6,674.4,2/2/2026 14:24,184,0,27.6,44.96,44.96,1946.48
#4696,2.73E+13,0.2,1/27/2026 18:53,NEW TOWN KARACHI,MULTAN,Delivered,2248,1573.6,674.4,1/30/2026 20:43,184,0,27.6,44.96,44.96,1946.48
#4695,2.63E+13,0.3,1/27/2026 18:53,NEW TOWN KARACHI,Faisalabad,Delivered,3247,2272.9,974.1,1/30/2026 13:37,184,0,27.6,64.94,64.94,2905.52
#4693,2.13E+13,0.3,1/27/2026 18:53,NEW TOWN KARACHI,MEHRAB PUR,Delivered,5997,0,5997,1/29/2026 12:52,172.5,0,25.88,119.94,119.94,5558.74
#4691,2.03E+13,0.3,1/27/2026 18:53,NEW TOWN KARACHI,Lahore,Delivered,3247,2272.9,974.1,1/29/2026 13:35,184,0,27.6,64.94,64.94,2905.52
#4689,2.83E+13,0.4,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,5996,0,5996,1/31/2026 21:18,138,0,20.7,119.92,119.92,5597.46
#4688,2.23E+13,0.2,1/27/2026 18:53,NEW TOWN KARACHI,ABBOTTABAD,Delivered,3247,2272.9,974.1,1/31/2026 14:30,184,0,27.6,64.94,64.94,2905.52
#4687,2.83E+13,0.2,1/27/2026 18:53,NEW TOWN KARACHI,GUJRANWALA,Delivered,2248,1573.6,674.4,1/31/2026 10:23,184,0,27.6,44.96,44.96,1946.48
#4684,2.13E+13,0.3,1/27/2026 18:53,NEW TOWN KARACHI,Islamabad,Delivered,0,0,0,1/29/2026 13:04,184,0,27.6,0,0,-211.6
#4683,2.13E+13,0.1,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,1/31/2026 16:43,138,0,20.7,44.96,44.96,1999.38
#4680,2.63E+13,0.4,1/26/2026 22:29,NEW TOWN KARACHI,JAURAH,Delivered,2248,1573.6,674.4,2/3/2026 14:28,184,0,27.6,44.96,44.96,1946.48
#4677,2.23E+13,0.4,1/26/2026 22:29,NEW TOWN KARACHI,Lahore,Delivered,3247,2272.9,974.1,1/29/2026 15:27,184,0,27.6,64.94,64.94,2905.52
#4676,2.53E+13,0.2,1/27/2026 18:53,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,1/28/2026 14:12,138,0,20.7,44.96,44.96,1999.38
#4675,2.83E+13,0.4,1/27/2026 18:53,NEW TOWN KARACHI,MANSEHRA,Delivered,2648,1853.6,794.4,2/1/2026 17:25,184,0,27.6,52.96,52.96,2330.48
#4674,2.43E+13,0.1,1/28/2026 20:27,NEW TOWN KARACHI,Faisalabad,Delivered,2248,1573.6,674.4,2/2/2026 11:10,184,0,27.6,44.96,44.96,1946.48
#4673,2.13E+13,0.5,1/27/2026 18:53,NEW TOWN KARACHI,Lahore,Delivered,7746,0,7746,1/29/2026 16:09,184,0,27.6,154.92,154.92,7224.56
#4672,2.03E+13,0.4,1/27/2026 18:53,NEW TOWN KARACHI,PESHAWAR,Delivered,3247,2272.9,974.1,1/30/2026 15:54,184,0,27.6,64.94,64.94,2905.52
#4666,2.13E+13,0.2,1/27/2026 18:53,NEW TOWN KARACHI,TOBA TEK SINGH,Delivered,2248,1573.6,674.4,1/31/2026 14:53,184,0,27.6,44.96,44.96,1946.48
#4665,2.13E+13,0.3,1/26/2026 22:29,NEW TOWN KARACHI,Faisalabad,Delivered,2098,1468.6,629.4,1/30/2026 17:19,184,0,27.6,41.96,41.96,1802.48
#4663,2.73E+13,0.2,1/26/2026 22:29,NEW TOWN KARACHI,Karachi,Delivered,3247,2272.9,974.1,1/30/2026 11:58,138,0,20.7,64.94,64.94,2958.42
#4662,2.43E+13,0.2,1/27/2026 18:53,NEW TOWN KARACHI,Rawalpindi,Delivered,3247,2272.9,974.1,1/30/2026 12:41,184,0,27.6,64.94,64.94,2905.52
#4660,2.83E+13,0.2,1/27/2026 18:53,NEW TOWN KARACHI,RAHIM YAR KHAN,Delivered,2248,1573.6,674.4,1/30/2026 19:20,184,0,27.6,44.96,44.96,1946.48
#4659,2.23E+13,0.4,1/26/2026 22:29,NEW TOWN KARACHI,Islamabad,Delivered,2248,1573.6,674.4,1/29/2026 15:05,184,0,27.6,44.96,44.96,1946.48
#4657,2.93E+13,0.2,1/30/2026 19:10,NEW TOWN KARACHI,Karachi,Delivered,2248,1573.6,674.4,1/31/2026 11:22,138,0,20.7,44.96,44.96,1999.38
#4656,2.03E+13,0.4,1/26/2026 22:29,NEW TOWN KARACHI,ATTOCK,Delivered,2248,1573.6,674.4,1/29/2026 18:05,184,0,27.6,44.96,44.96,1946.48
#4655,2.23E+13,0.3,1/27/2026 18:53,NEW TOWN KARACHI,Lahore,Delivered,2248,1573.6,674.4,1/29/2026 18:46,184,0,27.6,44.96,44.96,1946.48
#4654,2.43E+13,0.4,1/26/2026 22:29,NEW TOWN KARACHI,Islamabad,Delivered,3247,2272.9,974.1,1/29/2026 13:58,184,0,27.6,64.94,64.94,2905.52
#4652,2.83E+13,0.1,1/26/2026 22:29,NEW TOWN KARACHI,JHELUM,Delivered,3247,2272.9,974.1,1/31/2026 11:02,184,0,27.6,64.94,64.94,2905.52
#4651,2.73E+13,0.3,1/27/2026 18:53,NEW TOWN KARACHI,Lahore,Delivered,2648,1853.6,794.4,1/30/2026 12:57,184,0,27.6,52.96,52.96,2330.48
#4650,2.23E+13,0.3,1/26/2026 22:29,NEW TOWN KARACHI,Lahore,Delivered,2248,1573.6,674.4,1/29/2026 13:31,184,0,27.6,44.96,44.96,1946.48
#4647,2.23E+13,0.4,1/26/2026 22:29,NEW TOWN KARACHI,Lahore,Delivered,2648,1853.6,794.4,1/30/2026 13:33,184,0,27.6,52.96,52.96,2330.48
#4645,2.83E+13,0.4,1/26/2026 22:29,NEW TOWN KARACHI,PESHAWAR,Delivered,3247,2272.9,974.1,1/30/2026 16:11,184,0,27.6,64.94,64.94,2905.52
#4644,2.63E+13,0.5,1/24/2026 18:41,NEW TOWN KARACHI,SWAT,Delivered,3247,2272.9,974.1,1/28/2026 10:52,184,0,27.6,64.94,64.94,2905.52
#4642,2.43E+13,0.6,1/24/2026 18:41,NEW TOWN KARACHI,BHIMBER (AJK),Delivered,5996,0,5996,1/28/2026 14:14,218.5,0,32.78,119.92,119.92,5504.88
#4630,2.53E+13,0.2,1/24/2026 18:41,NEW TOWN KARACHI,Lahore,Return,2248,1573.6,-1573.6,2/2/2026 18:58,184,0,27.6,0,0,-211.6
#4625,2.63E+13,0.1,1/24/2026 18:41,NEW TOWN KARACHI,Lahore,Delivered,2248,1573.6,674.4,1/28/2026 19:08,184,0,27.6,44.96,44.96,1946.48
#4623,2.03E+13,0.5,1/24/2026 18:41,NEW TOWN KARACHI,Islamabad,Delivered,3247,2272.9,974.1,1/28/2026 13:56,184,0,27.6,64.94,64.94,2905.52
#4622,2.23E+13,0.4,1/24/2026 18:41,NEW TOWN KARACHI,Rawalpindi,Delivered,2248,1573.6,674.4,1/28/2026 14:19,184,0,27.6,44.96,44.96,1946.48
#4620,2.93E+13,0.4,1/24/2026 18:41,NEW TOWN KARACHI,DERA ISMAIL KHAN,Delivered,2998,2098.6,899.4,1/28/2026 13:26,184,0,27.6,59.96,59.96,2666.48
#4617,2.83E+13,0.2,1/24/2026 18:41,NEW TOWN KARACHI,SIALKOT,Delivered,2248,1573.6,674.4,1/28/2026 12:43,184,0,27.6,44.96,44.96,1946.48
#4614,2.23E+13,0.5,1/24/2026 18:41,NEW TOWN KARACHI,THATTA,Return,2648,1853.6,-1853.6,1/31/2026 19:26,172.5,0,25.88,0,0,-198.38
#4602,2.13E+13,0.4,1/23/2026 18:26,NEW TOWN KARACHI,Lahore,Return,2648,1853.6,-1853.6,2/2/2026 18:58,184,0,27.6,0,0,-211.6
#4601,2.83E+13,0.2,1/23/2026 18:26,NEW TOWN KARACHI,Rawalpindi,Delivered,2248,1573.6,674.4,1/28/2026 14:19,184,0,27.6,44.96,44.96,1946.48
#4597,2.53E+13,0.4,1/23/2026 18:26,NEW TOWN KARACHI,SUKKUR,Return,3247,2272.9,-2272.9,2/3/2026 21:47,172.5,0,25.88,0,0,-198.38
#4585,2.43E+13,0.3,1/22/2026 18:43,NEW TOWN KARACHI,Lahore,Return,3247,2272.9,-2272.9,2/2/2026 18:58,184,0,27.6,0,0,-211.6
#4582,2.53E+13,0.3,1/22/2026 18:43,NEW TOWN KARACHI,MARDAN,Return,3247,2272.9,-2272.9,2/3/2026 21:47,184,0,27.6,0,0,-211.6
#4571,2.03E+13,0.4,1/22/2026 18:43,NEW TOWN KARACHI,Islamabad,Return,2248,1573.6,-1573.6,2/2/2026 18:58,184,0,27.6,0,0,-211.6
#4565,2.43E+13,0.2,1/21/2026 19:03,NEW TOWN KARACHI,Rawalpindi,Return,3247,2272.9,-2272.9,1/31/2026 19:26,184,0,27.6,0,0,-211.6
#4556,2.33E+13,0.4,1/22/2026 18:43,NEW TOWN KARACHI,Lahore,Delivered,2998,2098.6,899.4,1/30/2026 18:21,184,0,27.6,59.96,59.96,2666.48
#4551,2.33E+13,0.6,1/21/2026 19:03,NEW TOWN KARACHI,Faisalabad,Return,3247,2272.9,-2272.9,1/31/2026 19:26,218.5,0,32.78,0,0,-251.28
#4548,2.13E+13,0.4,1/21/2026 19:03,NEW TOWN KARACHI,Islamabad,Return,8994,0,0,2/3/2026 21:47,184,0,27.6,0,0,-211.6
#4543,2.73E+13,0.2,1/21/2026 19:03,NEW TOWN KARACHI,DERA GHAZI KHAN,Return,2248,1573.6,-1573.6,2/3/2026 21:47,184,0,27.6,0,0,-211.6
#4538,2.93E+13,0.5,1/20/2026 18:49,NEW TOWN KARACHI,MULTAN,Return,3247,2272.9,-2272.9,2/1/2026 10:46,184,0,27.6,0,0,-211.6
#4523,2.23E+13,0.3,1/20/2026 18:49,NEW TOWN KARACHI,NAROWAL,Return,2248,1573.6,-1573.6,2/2/2026 18:58,184,0,27.6,0,0,-211.6
#4521,2.93E+13,0.3,1/20/2026 18:49,NEW TOWN KARACHI,Lahore,Return,2248,1573.6,-1573.6,2/1/2026 10:46,184,0,27.6,0,0,-211.6
#4514,2.43E+13,0.6,1/20/2026 18:49,NEW TOWN KARACHI,PIND DADAN KHAN,Return,5048,0,0,2/3/2026 21:47,218.5,0,32.78,0,0,-251.28
#4505,2.43E+13,0.3,1/19/2026 19:26,NEW TOWN KARACHI,SIALKOT,Return,3247,2272.9,-2272.9,1/31/2026 19:26,184,0,27.6,0,0,-211.6
#4494,2.33E+13,0.5,1/20/2026 18:49,NEW TOWN KARACHI,JHELUM,Return,5996,0,0,2/2/2026 18:58,184,0,27.6,0,0,-211.6
#4485,2.63E+13,0.4,1/19/2026 19:26,NEW TOWN KARACHI,Lahore,Return,2848,1993.6,-1993.6,2/1/2026 10:46,184,0,27.6,0,0,-211.6
#4483,2.33E+13,0.3,1/19/2026 19:26,NEW TOWN KARACHI,Rawalpindi,Return,2848,1993.6,-1993.6,1/31/2026 19:26,184,0,27.6,0,0,-211.6
#4469,2.53E+13,0.3,1/17/2026 21:59,NEW TOWN KARACHI,Rawalpindi,Return,3248,2273.6,-2273.6,2/1/2026 10:46,184,0,27.6,0,0,-211.6
#4468,2.63E+13,0.1,1/17/2026 21:59,NEW TOWN KARACHI,Rawalpindi,Delivered,2098,1468.6,629.4,1/29/2026 16:30,184,0,27.6,41.96,41.96,1802.48
#4452,2.83E+13,0.2,1/17/2026 21:59,NEW TOWN KARACHI,Faisalabad,Return,3247,2272.9,-2272.9,2/1/2026 10:47,184,0,27.6,0,0,-211.6
4446-R,2.43E+13,0.3,1/23/2026 18:26,NEW TOWN KARACHI,TIMARGARAH,Delivered,250,175,75,1/28/2026 10:56,184,0,27.6,5,5,28.4
#4444,2.23E+13,0.4,1/17/2026 21:59,NEW TOWN KARACHI,Lahore,Return,5398,0,0,2/1/2026 10:46,184,0,27.6,0,0,-211.6
#4389,2.33E+13,0.4,1/14/2026 21:32,NEW TOWN KARACHI,JARANWALA,Return,2248,1573.6,-1573.6,2/1/2026 10:47,184,0,27.6,0,0,-211.6
#4321,2.53E+13,0.5,1/12/2026 20:27,NEW TOWN KARACHI,USTA MUHAMMAD,Return,3247,2272.9,-2272.9,2/3/2026 21:47,172.5,0,25.88,0,0,-198.38
#4293,2.93E+13,0.5,1/10/2026 19:16,NEW TOWN KARACHI,Rawalpindi,Return,3247,2272.9,-2272.9,1/31/2026 19:26,184,0,27.6,0,0,-211.6
